iter	Passed	Remaining
0	1	174
1	3	150
2	4	148
3	5	134
4	6	130
5	8	138
6	11	146
7	14	167
8	16	162
9	17	158
10	19	154
11	20	150
12	21	146
13	23	146
14	25	143
15	27	143
16	29	142
17	31	141
18	32	139
19	34	136
20	35	134
21	36	131
22	39	131
23	43	138
24	45	136
25	47	134
26	48	132
27	50	130
28	52	128
29	54	128
30	56	126
31	59	125
32	60	123
33	62	121
34	64	119
35	65	116
36	67	114
37	69	113
38	73	114
39	75	113
40	77	111
41	78	108
42	80	106
43	82	104
44	83	102
45	85	100
46	87	98
47	89	96
48	91	94
49	92	92
50	94	90
51	96	88
52	98	87
53	101	86
54	103	84
55	104	82
56	106	80
57	108	78
58	109	76
59	111	74
60	113	72
61	115	70
62	117	68
63	119	67
64	120	65
65	122	63
66	124	61
67	125	59
68	127	57
69	130	55
70	132	54
71	134	52
72	136	50
73	138	48
74	139	46
75	141	44
76	143	42
77	145	41
78	147	39
79	149	37
80	150	35
81	152	33
82	153	31
83	155	29
84	158	27
85	160	26
86	162	24
87	164	22
88	166	20
89	167	18
90	169	16
91	171	14
92	173	13
93	175	11
94	177	9
95	178	7
96	180	5
97	182	3
98	183	1
99	184	0
