iter	Passed	Remaining
0	156	156614
1	158	79166
2	160	53468
3	162	40414
4	164	32662
5	166	27522
6	167	23778
7	168	20950
8	170	18783
9	171	17023
10	179	16102
11	180	14873
12	182	13827
13	183	12923
14	184	12140
15	185	11431
16	187	10851
17	189	10333
18	190	9855
19	192	9429
20	194	9059
21	195	8699
22	197	8369
23	198	8062
24	199	7775
25	201	7533
26	203	7319
27	204	7106
28	206	6900
29	207	6719
30	209	6539
31	210	6362
32	211	6208
33	212	6050
34	214	5900
35	215	5781
36	217	5666
37	218	5540
38	220	5422
39	221	5311
40	222	5209
41	224	5109
42	225	5010
43	226	4921
44	227	4832
45	229	4754
46	231	4700
47	233	4631
48	235	4565
49	236	4500
50	238	4435
51	239	4366
52	240	4306
53	242	4249
54	245	4213
55	246	4162
56	248	4116
57	250	4071
58	252	4020
59	253	3969
60	254	3917
61	256	3873
62	260	3870
63	262	3831
64	263	3795
65	266	3768
66	268	3733
67	269	3696
68	271	3666
69	275	3655
70	277	3626
71	279	3604
72	281	3574
73	283	3541
74	284	3514
75	287	3492
76	289	3469
77	291	3440
78	292	3413
79	294	3387
80	296	3360
81	297	3333
82	298	3300
83	300	3275
84	303	3268
85	305	3246
86	307	3225
87	309	3210
88	311	3186
89	313	3165
90	314	3143
91	318	3141
92	320	3124
93	322	3106
94	324	3091
95	326	3074
96	328	3056
97	330	3040
98	332	3029
99	334	3014
100	337	2999
101	339	2990
102	341	2975
103	343	2959
104	345	2947
105	348	2938
106	350	2924
107	352	2910
108	354	2898
109	356	2885
110	358	2869
111	360	2854
112	363	2853
113	365	2841
114	367	2831
115	370	2821
116	372	2811
117	374	2802
118	381	2824
119	385	2823
120	387	2812
121	388	2798
122	391	2788
123	394	2787
124	397	2782
125	400	2777
126	402	2765
127	404	2753
128	409	2764
129	413	2769
130	416	2761
131	418	2750
132	420	2738
133	425	2753
134	428	2748
135	430	2736
136	432	2726
137	434	2715
138	437	2707
139	439	2701
140	441	2691
141	443	2677
142	445	2667
143	446	2656
144	448	2645
145	450	2633
146	452	2624
147	454	2617
148	456	2606
149	458	2596
150	459	2586
151	461	2575
152	463	2565
153	465	2556
154	468	2553
155	470	2546
156	472	2539
157	475	2532
158	477	2523
159	479	2516
160	482	2513
161	485	2509
162	487	2501
163	489	2493
164	491	2485
165	492	2476
166	494	2467
167	497	2464
168	500	2458
169	502	2452
170	504	2443
171	505	2434
172	507	2427
173	510	2422
174	513	2420
175	515	2415
176	518	2409
177	520	2401
178	521	2393
179	525	2393
180	528	2389
181	529	2381
182	531	2373
183	533	2366
184	535	2359
185	537	2351
186	539	2346
187	542	2342
188	544	2336
189	546	2330
190	548	2322
191	550	2316
192	552	2309
193	554	2302
194	556	2296
195	558	2289
196	559	2282
197	562	2276
198	564	2270
199	566	2264
200	567	2257
201	570	2252
202	572	2248
203	574	2243
204	576	2236
